,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
127,mys_1,-3.3603616,17.748959,212.04144287109375,27.19783,0.06652494
128,mys_1,-3.3602715,17.748869,211.43502807617188,27.187534,0.06588831
129,mys_1,-3.3601813,17.748777,209.9360809326172,27.192865,0.06565776
130,mys_1,-3.3600912,17.748688,208.43846130371094,27.192865,0.06559932
131,mys_1,-3.3600914,17.748598,209.03604125976562,27.192865,0.06565753
132,mys_1,-3.3600013,17.748508,208.43846130371094,27.187237,0.06531054
133,mys_1,-3.3599112,17.748417,206.65489196777344,27.183506,0.06484782
134,mys_1,-3.359821,17.748327,206.0645751953125,27.185396,0.06438513
135,mys_1,-3.359731,17.748238,205.17337036132812,27.183998,0.064269274
136,mys_1,-3.3596408,17.748146,203.11700439453125,27.182116,0.06415298
137,mys_1,-3.3595507,17.748056,203.11648559570312,27.183441,0.064037636
138,mys_1,-3.3594604,17.748056,201.9500274658203,27.183441,0.06386428
139,mys_1,-3.3593705,17.747967,201.3656005859375,27.17898,0.0639794
140,mys_1,-3.3592803,17.747877,199.91439819335938,27.171925,0.06415298
141,mys_1,-3.3591902,17.747786,199.62533569335938,27.166405,0.06415298
142,mys_1,-3.3591,17.747696,199.62533569335938,27.164629,0.06415298
143,mys_1,-3.35901,17.747606,200.20315551757812,27.164118,0.06386347
144,mys_1,-3.3589199,17.747515,199.62582397460938,27.166613,0.06380583
145,mys_1,-3.3588297,17.747425,201.07412719726562,27.165993,0.06374775
146,mys_1,-3.3587396,17.747335,201.363525390625,27.166714,0.0636318
147,mys_1,-3.3586495,17.747246,201.94253540039062,27.170042,0.06357394
148,mys_1,-3.3585591,17.747244,201.36170959472656,27.17407,0.063342474
149,mys_1,-3.358469,17.747154,201.94253540039062,27.17253,0.063458204
150,mys_1,-3.358379,17.747065,201.94253540039062,27.166729,0.06363143
151,mys_1,-3.3582888,17.746975,201.94253540039062,27.161694,0.06392036
152,mys_1,-3.3581986,17.746883,203.1099395751953,27.160908,0.06403607
153,mys_1,-3.3581085,17.746794,203.1122589111328,27.162615,0.06403623
154,mys_1,-3.3580182,17.746794,203.10865783691406,27.167984,0.064035855
155,mys_1,-3.357928,17.746704,203.1122589111328,27.166882,0.06403623
156,mys_1,-3.3579283,17.746614,203.6957244873047,27.170008,0.06403654
157,mys_1,-3.3578382,17.746523,203.69525146484375,27.16552,0.0641521
158,mys_1,-3.357748,17.746433,203.6957244873047,27.1625,0.06426706
159,mys_1,-3.357658,17.746344,203.98892211914062,27.163967,0.06432469
160,mys_1,-3.3575678,17.746252,206.64427185058594,27.163242,0.06438254
161,mys_1,-3.3574777,17.746162,207.83212280273438,27.163242,0.06438306
162,mys_1,-3.3573875,17.746073,209.02105712890625,27.168297,0.06467193
163,mys_1,-3.3572972,17.746073,208.12811279296875,27.171078,0.06444091
164,mys_1,-3.357207,17.745981,208.72256469726562,27.176031,0.06484525
165,mys_1,-3.3571172,17.745892,209.91995239257812,27.181664,0.06519227
166,mys_1,-3.357027,17.745802,212.02223205566406,27.175373,0.065539286
167,mys_1,-3.356937,17.745712,211.42152404785156,27.170153,0.06559728
168,mys_1,-3.3568468,17.74562,213.23500061035156,27.174826,0.06577076
169,mys_1,-3.3567567,17.745531,213.23500061035156,27.189863,0.06594387
170,mys_1,-3.3566663,17.745531,213.2312469482422,27.187826,0.06565473
171,mys_1,-3.3565762,17.745441,213.53514099121094,27.180714,0.06582821
172,mys_1,-3.356486,17.74535,214.446044921875,27.173693,0.066116735
173,mys_1,-3.356396,17.74526,215.66452026367188,27.16879,0.066463426
174,mys_1,-3.3563058,17.74517,217.1970672607422,27.165688,0.06675287
175,mys_1,-3.3562157,17.74508,217.50233459472656,27.16795,0.06681106
176,mys_1,-3.3561254,17.745079,215.35787963867188,27.169792,0.066694684
177,mys_1,-3.3560352,17.74499,214.4444580078125,27.175209,0.06652087
178,mys_1,-3.3559449,17.74499,213.83340454101562,27.171572,0.06611651
179,mys_1,-3.3558547,17.7449,213.83578491210938,27.171572,0.0662896
180,mys_1,-3.3557646,17.74481,213.83578491210938,27.17695,0.06652087
181,mys_1,-3.3556745,17.744719,213.83578491210938,27.170088,0.06611577
182,mys_1,-3.3555841,17.744719,213.83152770996094,27.170048,0.06600087
183,mys_1,-3.3554938,17.744719,213.83152770996094,27.170048,0.06588447
184,mys_1,-3.3554034,17.744719,215.3546600341797,27.163551,0.0658268
185,mys_1,-3.3553133,17.744629,217.49908447265625,27.161032,0.06611577
186,mys_1,-3.355223,17.744627,217.49960327148438,27.160591,0.06617375
187,mys_1,-3.3551328,17.744537,219.96588134765625,27.161545,0.066867456
188,mys_1,-3.3550425,17.744537,220.586669921875,27.161814,0.06692548
189,mys_1,-3.3549523,17.744448,222.14671325683594,27.163551,0.06715596
190,mys_1,-3.354862,17.744448,222.45721435546875,27.160883,0.06715596
191,mys_1,-3.3547719,17.744356,224.33685302734375,27.159323,0.06732937
192,mys_1,-3.3546815,17.744356,224.96920776367188,27.159693,0.06732937
193,mys_1,-3.3545914,17.744267,226.86480712890625,27.160883,0.06784878
194,mys_1,-3.354501,17.744267,226.8617706298828,27.157476,0.06784916
195,mys_1,-3.3544106,17.744267,226.85781860351562,27.157476,0.06784878
196,mys_1,-3.3543203,17.744267,226.85781860351562,27.156507,0.067675546
197,mys_1,-3.3542302,17.744175,226.85836791992188,27.155975,0.06796467
198,mys_1,-3.3541398,17.744175,225.9121856689453,27.155975,0.06802231
199,mys_1,-3.3540497,17.744085,226.85781860351562,27.165592,0.06819508
200,mys_1,-3.3539593,17.744085,226.2250518798828,27.159925,0.06819508
201,mys_1,-3.3538692,17.743994,226.54144287109375,27.160114,0.06819508
202,mys_1,-3.353779,17.743904,226.85890197753906,27.165016,0.068310425
203,mys_1,-3.353689,17.743814,227.49407958984375,27.164595,0.06848377
204,mys_1,-3.3535988,17.743725,228.45005798339844,27.167013,0.06854118
205,mys_1,-3.3535087,17.743633,228.76954650878906,27.167763,0.06877214
206,mys_1,-3.3534186,17.743544,230.6860809326172,27.165567,0.06958145
207,mys_1,-3.3533285,17.743454,232.62103271484375,27.16678,0.069927804
208,mys_1,-3.353238,17.743454,231.33045959472656,27.165596,0.069927804
209,mys_1,-3.353148,17.743362,233.2643585205078,27.164171,0.07033186
210,mys_1,-3.3530576,17.743362,233.266357421875,27.165596,0.07033186
211,mys_1,-3.3529675,17.743273,235.87222290039062,27.163713,0.07038984
212,mys_1,-3.3528771,17.743273,235.5431671142578,27.162271,0.07038984
